"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"X1",1,781,439.308578745198,268.853507515215,412,433.8688,345.4458,1,915,914,0.178144532983267,-1.19718691087218,9.62033487743273
"study*",2,781,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"nident",3,781,254.007682458387,139.834939115067,257,249.6864,163.086,1,540,539,0.181978661953684,-0.968055717671469,5.00368752591493
"country",4,781,8.1741357234315,4.03292817549916,7,8.0224,4.4478,1,16,15,0.308664544094343,-0.8588946186967,0.144309516150687
"age",5,781,64.708066581306,9.74938782960097,66,64.9232,10.3782,37,89,52,-0.213257594811396,-0.392021694873739,0.348860524966074
"sex",6,781,0.380281690140845,0.485767088365071,0,0.3504,0,0,1,1,0.492273042921185,-1.759915748215,0.0173821130536784
"pdonset",7,781,56.752880921895,10.6704303867448,57,56.8416,11.8608,28,89,61,-0.0313324988516584,-0.402019674450943,0.381818018874124
"durat_pd",8,781,7.95518565941101,5.81922449433654,7,7.2816,5.9304,0,40,40,1.31947074985776,2.70961724015354,0.208228223912267
"surgery",9,781,0.0422535211267606,0.201295909886278,0,0,0,0,1,1,4.54217252685937,18.65522250844,0.00720293397122196
"ldopa",10,781,0.800256081946223,0.400064015364097,1,0.8752,0,0,1,1,-1.4991182391856,0.247677540039446,0.0143154159891152
"seleg",11,781,0.0781049935979513,0.268508691046193,0,0,0,0,1,1,3.13848171013471,7.86013655643289,0.0096079963740823
"rasag",12,781,0.156209987195903,0.363286955806429,0,0.0704,0,0,1,1,1.89024029208024,1.57502996174148,0.0129994293314666
"daagonist",13,781,0.585147247119078,0.493012336750233,1,0.6064,0,0,1,1,-0.344974019578625,-1.88339953265688,0.0176413684243061
"amantad",14,781,0.154929577464789,0.362069410272148,0,0.0688,0,0,1,1,1.90366035478799,1.62600962118144,0.0129558621268704
"apomorph",15,781,0.00768245838668374,0.0873682542950468,0,0,0,0,1,1,11.2555109956023,124.846387217459,0.00312628193599998
"other",16,781,0.276568501920615,0.447587842094951,0,0.2208,0,0,1,1,0.997102214262869,-1.00707172249743,0.0160159522106187
"scm1rue",17,781,0.695262483994878,0.872274121221238,0,0.5696,0,0,3,3,0.989056253934155,-0.0683250634563941,0.0312124220681471
"scm1lue",18,781,0.672215108834827,0.859402794925218,0,0.5392,0,0,3,3,1.0691465923396,0.188789774976559,0.0307518498017525
"scm2rue",19,781,0.604353393085788,0.743126795323365,0,0.4816,0,0,3,3,1.0628053024999,0.561986370161495,0.0265911674111211
"scm2lue",20,781,0.619718309859155,0.749406892001737,0,0.496,0,0,3,3,1.07606101217512,0.68851695280807,0.0268158869383721
"scm3rue",21,781,1.18437900128041,0.79859606282431,1,1.1664,1.4826,0,3,3,0.26132394874647,-0.402966524394858,0.0285760138566702
"scm3lue",22,781,1.30985915492958,0.832831195771421,1,1.2896,1.4826,0,3,3,0.181425763622434,-0.530992893874596,0.0298010432288683
"scm4rue",23,781,1.16645326504481,0.759859193724339,1,1.1632,0,0,3,3,0.202848298683003,-0.364265670017364,0.0271898996999713
"scm4lue",24,781,1.17029449423816,0.796104966879469,1,1.16,1.4826,0,3,3,0.189279173977234,-0.52793627278921,0.0284868754354434
"scm5rise",25,781,0.69270166453265,0.875776870868664,0,0.5456,0,0,3,3,1.14026229761571,0.459368279055818,0.0313377603049865
