"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"study*",1,339,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"nident",2,339,236.563421828909,146.487002739794,228,230.871794871795,169.0164,1,537,536,0.242142875879209,-0.972263038555986,7.95608187832039
"country",3,339,7.4070796460177,4.29387309780206,6,7.22710622710623,4.4478,1,16,15,0.356980740833533,-0.806055481490472,0.233211174385985
"age",4,339,65.0442477876106,10.057576302197,66,65.2673992673993,10.3782,34,89,55,-0.209544256643176,-0.487599973801301,0.546252562077963
"sex",5,339,1,0,1,1,0,1,1,0,NA,NA,0
"pdonset",6,339,57.0383480825959,11.0475708158733,57,57.0769230769231,11.8608,30,89,59,0.00223396209931323,-0.426424229536283,0.600021683314524
"durat_pd",7,339,8.00589970501475,5.89453367287696,6,7.2967032967033,4.4478,0,39,39,1.33633805550651,2.54601317604737,0.320147123354213
"scm1rue",8,339,0.631268436578171,0.851223544319099,0,0.505494505494505,0,0,3,3,1.06611167469551,-0.0012515480770845,0.0462321167659271
"scm1lue",9,339,0.634218289085546,0.874766355697891,0,0.490842490842491,0,0,3,3,1.17402398793219,0.325344808981991,0.0475107867603446
"scm2rue",10,339,0.557522123893805,0.737074656371591,0,0.428571428571429,0,0,3,3,1.1721878143053,0.747140457970159,0.0400324001914621
"scm2lue",11,339,0.592920353982301,0.749404119989917,0,0.465201465201465,0,0,3,3,1.15428590802652,0.854398079025326,0.0407020447348584
"scm3rue",12,339,1.14749262536873,0.854201881428152,1,1.1025641025641,1.4826,0,3,3,0.339749360805013,-0.5438590442321,0.0463938778331731
"scm3lue",13,339,1.29203539823009,0.883926982270516,1,1.25274725274725,1.4826,0,3,3,0.167377054183058,-0.730746513032051,0.0480083237001779
"scm4rue",14,339,1.05014749262537,0.773349535985367,1,1.01465201465201,0,0,3,3,0.411661250652218,-0.171268326070725,0.0420025812104982
"scm4lue",15,339,1.10324483775811,0.812961622489298,1,1.07326007326007,1.4826,0,3,3,0.304358493308731,-0.502739506620459,0.0441540144277932
"scm5rise",16,339,0.8023598820059,0.929080018487454,1,0.663003663003663,1.4826,0,3,3,0.951218519325083,-0.0681566708606032,0.050460699996216
"scm6post",17,339,0.861356932153392,0.92385187952368,1,0.765567765567766,1.4826,0,3,3,0.658021345623397,-0.719585320472973,0.0501767464652606
"scm7gait",18,339,1.00294985250737,0.747771937330396,1,0.967032967032967,0,0,3,3,0.418551114865199,-0.0914051259335236,0.0406133967412709
"scm8spee",19,339,0.846607669616519,0.7458437079883,1,0.769230769230769,0,0,3,3,0.723404506462214,0.466961643407497,0.0405086696990149
"scm9free",20,339,0.63716814159292,0.864095931790602,0,0.505494505494505,0,0,3,3,1.09683451889288,0.0897926554329542,0.0469312488853456
"scm10swa",21,339,0.495575221238938,0.714895123751784,0,0.358974358974359,0,0,3,3,1.27498524960939,0.839384579625373,0.0388277733355252
"scm11spe",22,339,0.725663716814159,0.73679042820856,1,0.63003663003663,1.4826,0,3,3,0.833464006092455,0.445721465979287,0.0400169630366641
"scm12fee",23,339,0.935103244837758,0.75872103414375,1,0.886446886446886,0,0,3,3,0.47259651940335,-0.176018151329767,0.0412080700509258
"scm13dre",24,339,1.08554572271386,0.758617502378559,1,1.05860805860806,0,0,3,3,0.384230184601235,-0.105536506277934,0.0412024469773052
"scm14hyg",25,339,1.00294985250737,0.731774713423195,1,0.956043956043956,0,0,3,3,0.582638574061707,0.457242821467835,0.0397445468033853
"scm15cha",26,339,1.08259587020649,0.827928397188107,1,1.03296703296703,1.4826,0,3,3,0.438695370106019,-0.334209831310904,0.0449668980470288
"scm16wal",27,339,1.08259587020649,0.760891947079757,1,1.04761904761905,0,0,3,3,0.464184306058395,0.0544145959905733,0.0413259778567143
"scm17han",28,339,1.12979351032448,0.765933482260503,1,1.0952380952381,0,0,3,3,0.486122207158996,0.0977366308681291,0.0415997964613703
"scm18dpr",29,339,0.63716814159292,0.864095931790602,0,0.501831501831502,0,0,3,3,1.12426703676453,0.199362204392306,0.0469312488853456
"scm19dsv",30,339,0.634218289085546,0.881504677575563,0,0.490842490842491,0,0,3,3,1.16620910250972,0.260056769117462,0.0478767621682547
"scm20fpr",31,339,0.811209439528024,0.859884064240232,1,0.725274725274725,1.4826,0,3,3,0.676580066336618,-0.570639717366557,0.0467024916409169
"scm21fsv",32,339,0.882005899705015,0.959660066769516,1,0.769230769230769,1.4826,0,3,3,0.696728022091429,-0.689024139556687,0.0521215802342207
"hy",33,339,2.48967551622419,0.964938395658771,2,2.45421245421245,1.4826,1,5,4,0.393571324219403,-0.220348350686257,0.0524082597077451
