"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"study*",1,558,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"nident",2,558,242.02688172043,141.451646849243,238.5,237.912946428571,169.0164,2,540,538,0.167548464391006,-0.950716896006568,5.98812570474666
"country",3,558,7.40681003584229,4.28907302759246,7,7.23660714285714,4.4478,1,16,15,0.371542533941526,-0.882545456827003,0.181570939739111
"age",4,558,63.8100358422939,9.74853151941709,64.5,64.0669642857143,11.1195,37,88,51,-0.234279244044395,-0.399023405624772,0.412688247010444
"sex",5,558,0,0,0,0,0,0,0,0,NA,NA,0
"pdonset",6,558,55.8494623655914,10.4305306283901,56,55.9977678571429,11.8608,28,85,57,-0.0873863757366316,-0.409583513251818,0.441559571494973
"durat_pd",7,558,7.96057347670251,5.66591316756788,7,7.33258928571429,5.9304,0,40,40,1.27808480804942,2.60881217372595,0.239857230617724
"scm1rue",8,558,0.75089605734767,0.876968984394234,1,0.633928571428571,1.4826,0,3,3,0.90277303533381,-0.152201237049804,0.0371250574644319
"scm1lue",9,558,0.681003584229391,0.827293219965216,0,0.5625,0,0,3,3,0.990471095971756,0.117183637332917,0.0350221146673263
"scm2rue",10,558,0.657706093189964,0.755140211693489,1,0.546875,1.4826,0,3,3,0.955297810079887,0.363741174505257,0.0319676342626746
"scm2lue",11,558,0.609318996415771,0.734909881282169,0,0.488839285714286,0,0,3,3,1.05589740491293,0.655267351517582,0.0311112160855101
"scm3rue",12,558,1.13620071684588,0.771634402319707,1,1.12276785714286,0.7413,0,3,3,0.253842103889671,-0.364132766962495,0.032665889030773
"scm3lue",13,558,1.24193548387097,0.824162389305104,1,1.22321428571429,1.4826,0,3,3,0.200073406445859,-0.530601594361323,0.0348895760368429
"scm4rue",14,558,1.1594982078853,0.751783826575056,1,1.16294642857143,1.4826,0,3,3,0.13540655089778,-0.463504829319563,0.0318255471505738
"scm4lue",15,558,1.12903225806452,0.800257675534564,1,1.11607142857143,1.4826,0,3,3,0.184353905941974,-0.627276544883387,0.033877608808589
"scm5rise",16,558,0.627240143369176,0.813338036058244,0,0.486607142857143,0,0,3,3,1.21558506619173,0.833945131150696,0.0344313446244942
"scm6post",17,558,0.629032258064516,0.826197707851121,0,0.5,0,0,3,3,1.10146729806874,0.272472486546335,0.0349757379414529
"scm7gait",18,558,0.93010752688172,0.739102995507648,1,0.886160714285714,0,0,3,3,0.430504414385137,-0.182336665029281,0.0312887247652309
"scm8spee",19,558,0.901433691756272,0.682664087832478,1,0.859375,0,0,3,3,0.395956637582227,0.0822117488822518,0.028899475284398
"scm9free",20,558,0.630824372759857,0.870367780440521,0,0.488839285714286,0,0,3,3,1.16168528762375,0.278162562065532,0.0368456062176067
"scm10swa",21,558,0.399641577060932,0.625433319540177,0,0.285714285714286,0,0,3,3,1.39298722319003,1.16944881991213,0.0264767036705844
"scm11spe",22,558,0.824372759856631,0.720049532589471,1,0.765625,1.4826,0,3,3,0.476106011719327,-0.295298693013935,0.0304821273617635
"scm12fee",23,558,0.851254480286738,0.732245411500757,1,0.787946428571429,0,0,3,3,0.566488813595967,0.0477421436862713,0.030998420085301
"scm13dre",24,558,1.0089605734767,0.72769673918723,1,0.977678571428571,0,0,3,3,0.404936129554462,0.0148388802586124,0.0308058594314676
"scm14hyg",25,558,0.919354838709677,0.710742105583871,1,0.868303571428571,0,0,3,3,0.535917074639741,0.347341096217813,0.0300881125578448
"scm15cha",26,558,0.921146953405018,0.781898515766839,1,0.859375,1.4826,0,3,3,0.565457537315105,-0.0903286227073954,0.0331004036012163
